run,benchmark,params,mfics,maxmficsize,process,step,initTests,askedTests,benCycles,totalTests,time,precision,recall,f,isomfics,ft,lastTest
1,ART1,3,1,2,MIX,7,7,0,0,7,1,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=false}]"
2,ART1,3,1,2,MIX,7,7,0,0,7,2,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true}]"
3,ART1,3,1,2,MIX,7,7,0,0,7,8,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=false}]"
4,ART1,3,1,2,MIX,6,6,0,0,6,4,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=true}]"
5,ART1,3,1,2,MIX,7,7,0,0,7,1,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true}]"
6,ART1,3,1,2,MIX,6,6,0,0,6,2,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=false, c=false}]"
7,ART1,3,1,2,MIX,8,8,0,0,8,1,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=false}]"
8,ART1,3,1,2,MIX,6,6,0,0,6,11,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true}]"
9,ART1,3,1,2,MIX,6,6,0,0,6,1,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=false}]"
10,ART1,3,1,2,MIX,6,6,0,0,6,1,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=true}]"
1,ART2,3,2,2,MIX,8,8,0,0,8,2,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=false, c=false}]"
2,ART2,3,2,2,MIX,8,8,0,0,8,1,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=false, c=false}]"
3,ART2,3,2,2,MIX,8,8,0,0,8,14,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=false, c=false}]"
4,ART2,3,2,2,MIX,8,8,0,0,8,6,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=true, b=false, c=false}]"
5,ART2,3,2,2,MIX,8,8,0,0,8,1,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=true, c=false}]"
